#Char	CCode	Hex	UnicodeName
£	GBP	U+00A3	POUND SIGN
¤	XXX	U+00A4	CURRENCY SIGN
¥	JPY	U+00A5	YEN SIGN
֏	AMD	U+058F	ARMENIAN DRAM SIGN
؋	AFN	U+060B	AFGHANI SIGN
৳	BDT	U+09F3	BENGALI RUPEE SIGN
฿	THB	U+0E3F	THAI CURRENCY SYMBOL BAHT
៛	KHR	U+17DB	KHMER CURRENCY SYMBOL RIEL
₡	CRC	U+20A1	COLON SIGN
₦	NGN	U+20A6	NAIRA SIGN
₧	ESP	U+20A7	PESETA SIGN
₩	KRW	U+20A9	WON SIGN
₪	ILS	U+20AA	NEW SHEQEL SIGN
₫	VND	U+20AB	DONG SIGN
€	EUR	U+20AC	EURO SIGN
₭	LAK	U+20AD	KIP SIGN
₮	MNT	U+20AE	TUGRIK SIGN
₱	PHP	U+20B1	PESO SIGN
₲	PYG	U+20B2	GUARANI SIGN
₴	UAH	U+20B4	HRYVNIA SIGN
₸	KZT	U+20B8	TENGE SIGN
₹	INR	U+20B9	INDIAN RUPEE SIGN
₼	AZN	U+20BC	MANAT SIGN
₽	RUB	U+20BD	RUBLE SIGN
₾	GEL	U+20BE	LARI SIGN
₵	GHS	U+20B5	CEDI SIGN
₺	TRY	U+20BA	TURKISH LIRA SIGN